,city,hot,num,level_sum,lati
0,三亚,7.12,19850,13,"109.511909,18.252847"
1,上海,7.7,15070,15,"121.473701,31.230416"
2,上饶,1.8599999999999999,1518,4,"117.943436,28.454863"
3,东营,0.7,56,1,"118.674767,37.434751"
4,中卫,1.7,784,4,"105.196902,37.499972"
5,临汾,2.72,500,3,"111.518976,36.088005"
6,丹东,1.44,202,3,"124.354706,40.000499"
7,丽江,2.88,3602,3,"100.227750,26.855047"
8,乌兰察布,0.7,4,1,"113.132585,40.994785"
9,乌鲁木齐,0.0,160,2,"87.616848,43.825592"
10,乐山,1.8199999999999998,5008,3,"103.765572,29.552107"
11,九江,1.72,472,2,"116.001930,29.705077"
12,伊春,0.8800000000000001,12,1,"128.841147,47.727536"
13,伊犁,1.0,200,2,0
14,佛山,0.72,454,1,"113.121416,23.021548"
15,保定,3.42,1094,4,"115.464806,38.873891"
16,克拉玛依,1.0,596,1,"84.889207,45.579888"
17,六安,0.0,10,1,"116.521854,31.733699"
18,兴安盟,1.0,660,1,"122.067042,46.077561"
19,包头,0.78,36,1,"109.840347,40.657449"
20,北京,7.359999999999999,32381,15,"116.407526,39.904030"
21,北海,0.92,2792,2,"109.119927,21.481254"
22,十堰,1.0,984,1,"110.797990,32.629397"
23,南京,2.68,1910,3,"118.796877,32.060255"
24,南宁,0.82,3515,2,"108.366543,22.817002"
25,南平,1.0,1916,2,"118.177708,26.641768"
26,南投,1.0,36,2,0
27,南昌,1.0,4959,2,"115.858197,28.682892"
28,厦门,4.16,7725,9,"118.089425,24.479833"
29,台北,3.0,234,4,"114.277985,30.597507"
30,吉安,0.0,104,1,"114.992509,27.113443"
31,吉林市,1.72,42,2,"126.549576,43.837883"
32,吐鲁番,2.56,584,4,"89.189651,42.951382"
33,呼伦贝尔,1.44,196,2,"119.765744,49.211574"
34,呼和浩特,1.82,92,2,"111.749180,40.842585"
35,哈尔滨,6.12,3950,13,"126.534967,45.803775"
36,喀什,0.0,32,1,"75.989755,39.470400"
37,嘉兴,1.84,1394,3,"120.755486,30.746129"
38,嘉峪关,0.8400000000000001,804,2,"98.289152,39.773130"
39,大同,1.0,296,1,"113.300129,40.076762"
40,大理,3.5,2396,4,"100.267638,25.606486"
41,大连,3.36,5717,5,"121.614682,38.914003"
42,天水,0.9,38,1,"105.724947,34.580863"
43,天津,2.98,2500,15,"117.200983,39.084158"
44,太原,0.76,48,1,"112.548879,37.870590"
45,威海,1.0,516,1,"122.120419,37.513068"
46,宁波,0.0,1074,1,"121.550357,29.874556"
47,安庆,0.86,112,1,"117.063754,30.543494"
48,安康,0.82,26,1,"109.029022,32.684714"
49,安阳,1.88,136,2,"114.392392,36.097577"
50,安顺,1.72,1264,3,"105.947593,26.253072"
51,宜昌,2.2,852,3,"111.286471,30.691967"
52,宜春,1.0,292,1,"114.416778,27.815619"
53,宝鸡,1.0,310,1,"107.237974,34.361979"
54,屏东,0.0,247,3,"109.438957,24.303391"
55,山南,0.0,224,3,"91.773134,29.237137"
56,岳阳,1.0,102,1,"113.128958,29.357104"
57,崇左,1.0,208,1,"107.364711,22.376532"
58,巴音郭楞,0.72,40,1,"86.145298,41.764115"
59,常州,0.74,2020,3,"119.973987,31.810689"
60,常德,0.0,98,1,"111.698497,29.031673"
61,平凉,1.0,56,1,"106.665240,35.543051"
62,广州,2.16,7586,7,"113.264434,23.129162"
63,延安,1.0,666,1,"109.489727,36.585455"
64,延边,3.3199999999999994,570,7,"129.508946,42.891253"
65,开封,1.96,458,2,"114.307581,34.797239"
66,张家界,4.28,10451,7,"110.479191,29.117096"
67,张掖,1.76,2770,5,"100.449818,38.925875"
68,忻州,2.44,276,3,"112.734174,38.416663"
69,恩施,0.8800000000000001,852,2,"109.488172,30.272156"
70,成都,6.660000000000001,30906,11,"104.066541,30.572269"
71,扬州,1.0,940,1,"119.412966,32.394210"
72,承德,1.0,268,1,"117.962410,40.954071"
73,抚顺,1.0,82,1,"123.957208,41.880872"
74,拉萨,3.4799999999999995,2573,8,"91.140856,29.645554"
75,新北,0.9,91,3,0
76,新竹,0.0,65,1,"119.760742,49.215767"
77,无锡,1.68,1810,2,"120.311910,31.491169"
78,昆明,1.56,1570,3,"102.832891,24.880095"
79,昌吉,1.0,554,1,0
80,晋中,3.52,5210,5,"112.752694,37.687024"
81,晋城,1.0,54,1,"112.851831,35.490701"
82,景德镇,0.98,290,2,"117.178419,29.268835"
83,本溪,1.8599999999999999,530,2,"123.766485,41.294175"
84,杭州,2.48,2710,5,"120.155070,30.274084"
85,林芝,0.0,77,3,"94.361557,29.648943"
86,枣庄,0.0,404,1,"117.323725,34.810487"
87,桂林,6.24,5186,9,"110.290194,25.273566"
88,武汉,2.42,2508,6,"114.305392,30.593098"
89,毕节,1.0,152,1,"105.283992,27.302589"
90,池州,1.0,312,1,"117.491568,30.664800"
91,沈阳,0.7,1260,3,"123.431474,41.805698"
92,泰安,1.0,828,1,"117.087614,36.200252"
93,洛阳,2.42,510,3,"112.454040,34.619682"
94,济南,1.66,854,3,"117.119999,36.651216"
95,海东地区,0.7,40,1,"121.198479,31.893150"
96,海南藏族自治州,1.0,646,4,"100.620373,36.286437"
97,海口,0.0,744,1,"110.198293,20.044001"
98,海西蒙古族藏族自治州,1.56,1059,2,"97.369751,37.377139"
