,province,hot,num,level_sum,lati
0,上海,7.7,15070,15,"121.473701,31.230416"
1,云南,12.34,9196,15,"102.710002,25.045806"
2,内蒙古,8.180000000000001,1604,15,"111.765617,40.817498"
3,北京,7.359999999999999,32381,15,"116.407526,39.904030"
4,台湾,4.9,835,15,"121.508903,25.044319"
5,吉林,7.82,1290,15,"125.325990,43.896536"
6,四川,9.48,38841,15,"104.075931,30.651651"
7,天津,2.98,2500,15,"117.200983,39.084158"
8,宁夏,7.58,2136,15,"106.258754,38.471317"
9,安徽,7.54,17484,15,"117.284922,31.861184"
10,山东,9.879999999999999,7014,15,"120.395966,36.070892"
11,山西,12.44,6530,15,"112.562398,37.873531"
12,广东,6.9799999999999995,14507,16,"113.266530,23.132191"
13,广西,9.979999999999999,12013,15,"108.327546,22.815478"
14,新疆,8.78,3674,15,"87.627704,43.793026"
15,江苏,10.500000000000002,11380,15,"118.763232,32.061707"
16,江西,8.96,10253,15,"115.909228,28.675696"
17,河北,12.000000000000002,3498,15,"114.468664,38.037057"
18,河南,10.7,11410,15,"113.753602,34.765515"
19,浙江,7.04,9462,15,"120.152791,30.267446"
20,海南,8.120000000000001,21128,15,"110.349228,20.017377"
21,湖北,7.4,5446,15,"114.341861,30.546498"
22,湖南,8.86,13127,15,"112.983810,28.112444"
23,澳门,2.66,2412,14,"113.543028,22.186835"
24,甘肃,8.5,6152,15,"103.826308,36.059421"
25,福建,6.0,10821,15,"119.295144,26.100779"
26,西藏,4.4799999999999995,3132,15,"91.117212,29.646922"
27,贵州,10.9,4944,15,"106.707410,26.598194"
28,辽宁,8.36,8577,15,"123.429440,41.835441"
29,重庆,4.5600000000000005,6475,15,"106.551556,29.563009"
30,陕西,11.04,21781,15,"108.954239,34.265472"
31,青海,7.58,5558,15,"101.780199,36.620901"
32,香港,5.14,7086,15,"114.163825,22.276284"
33,黑龙江,7.9,4062,15,"126.661669,45.742347"
