2018-10-07 21:46,xcwjb01,南充,4.5,非常好看，不过那天出了点意外
2018-10-07 21:42,猫样神经啊,齐齐哈尔,5,好看一家人看的
2018-10-07 21:11,guH859070727,深圳,4,嗯，还行吧！
2018-10-07 21:10,一天用来希望,昆明,3.5,特效大于剧情
2018-10-07 21:10,佳惘惘,娄底,0,没有看上。迟到了 票不能退
2018-10-07 20:56,SGf631335914,南昌,3,看完以后毫无感觉
2018-10-07 20:47,茅？毛,南通,4,狄仁杰就是狄仁杰。
2018-10-07 20:40,sfp253841401,福州,4,好看的电影……
2018-10-07 20:34,YTC13993576566,金昌,3.5,壳子啊错了不了
2018-10-07 20:29,_qq6h81408764803,临汾,4,忘了为什么没有看了。。。
2018-10-07 20:11,YTl920948231,包头,4,还不错还不错
2018-10-07 19:57,天行键369,武汉,3.5,做为一部爆米花电影还是可以的
2018-10-07 19:52,曹晗晖,万州,4,感觉还行！能让人坐下来观赏！
2018-10-07 19:43,我是小白和猫猫,大连,3.5,还算可以吧，剧情比较可以
2018-10-07 19:42,微微云翳,沂南,4.5,这一部异域风情很浓重啊😄
2018-10-07 21:42,猫样神经啊,齐齐哈尔,5,好看一家人看的
2018-10-07 21:11,guH859070727,深圳,4,嗯，还行吧！
2018-10-07 21:10,一天用来希望,昆明,3.5,特效大于剧情
2018-10-07 21:10,佳惘惘,娄底,0,没有看上。迟到了 票不能退
2018-10-07 20:56,SGf631335914,南昌,3,看完以后毫无感觉
2018-10-07 20:47,茅？毛,南通,4,狄仁杰就是狄仁杰。
2018-10-07 20:40,sfp253841401,福州,4,好看的电影……
2018-10-07 20:34,YTC13993576566,金昌,3.5,壳子啊错了不了
2018-10-07 20:29,_qq6h81408764803,临汾,4,忘了为什么没有看了。。。
2018-10-07 20:11,YTl920948231,包头,4,还不错还不错
2018-10-07 19:57,天行键369,武汉,3.5,做为一部爆米花电影还是可以的
2018-10-07 19:52,曹晗晖,万州,4,感觉还行！能让人坐下来观赏！
2018-10-07 19:43,我是小白和猫猫,大连,3.5,还算可以吧，剧情比较可以
2018-10-07 19:42,微微云翳,沂南,4.5,这一部异域风情很浓重啊😄
2018-10-07 19:42,YAj287505723,长沙,4,林更新很有趣啊哈哈哈啊哈哈
2018-10-07 21:11,guH859070727,深圳,4,嗯，还行吧！
2018-10-07 21:10,一天用来希望,昆明,3.5,特效大于剧情
2018-10-07 21:10,佳惘惘,娄底,0,没有看上。迟到了 票不能退
2018-10-07 20:56,SGf631335914,南昌,3,看完以后毫无感觉
2018-10-07 20:47,茅？毛,南通,4,狄仁杰就是狄仁杰。
2018-10-07 20:40,sfp253841401,福州,4,好看的电影……
2018-10-07 20:34,YTC13993576566,金昌,3.5,壳子啊错了不了
2018-10-07 20:29,_qq6h81408764803,临汾,4,忘了为什么没有看了。。。
2018-10-07 20:11,YTl920948231,包头,4,还不错还不错
2018-10-07 19:57,天行键369,武汉,3.5,做为一部爆米花电影还是可以的
2018-10-07 19:52,曹晗晖,万州,4,感觉还行！能让人坐下来观赏！
2018-10-07 19:43,我是小白和猫猫,大连,3.5,还算可以吧，剧情比较可以
2018-10-07 19:42,微微云翳,沂南,4.5,这一部异域风情很浓重啊😄
